"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"December 26, 2017","diana waggoner","-","-","Sexual content in game","The package arrived timely. However  this card game was more inappropriate than I expected. I was expecting it to be somewhat inappropriate from the reviews I read but it contained much more sexual questions and content that I expected.  I thought I researched enough but it was partly  my fault for not reviewing more information. In the proper setting and group these questions may be funny but not for a family.  I would not let my 17 yr old son play this game and did not want to play with my inlaws or mother!  My 23 yr old son may find it funny with his group of friends.  Just beware it includes alot of sexual content before your purchase.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2T5NQOSMPOKN2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 28, 2014","Judy","-","yes","You have to find sensitive people to play with to make it fun.","Three generations of Texas women around the kitchen table...only had to hit wiki twice.  Otherwise we were attempting to make our answers make logical and logistics sense.  Not fun if you have these conversations with ease. But we did find the generation gap...come on 20 millennials catch up!! If they were play keys house parties in the 60's.","2","-","-","https://www.amazon.com/gp/customer-reviews/R7CRVCHEI12QL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 22, 2015","Jared Nadel","-","-","Did not like the game","Bought it and played once and never again. Did not like the game.","2","-","-","https://www.amazon.com/gp/customer-reviews/R34DSN4AIUWSQS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 8, 2015","Eric Cole","-","-","Two Stars","Not as fun as I thought it would be.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3PM17B7UK06QG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 11, 2016","Amazon Customer","-","-","Ehhh","It was okay box kind of damaged and some cards were missing but overall ok experience","2","-","-","https://www.amazon.com/gp/customer-reviews/RSYPE2C2NA01I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 23, 2014","tmack","-","-","Two Stars","This game is geared more for college aged kids, very sexually oriented.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2FMSZTR4P9JDL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"February 21, 2016","Amazon Customer","-","-","Suck.","I heard so much good things about this game. But it was missing so many cards the box was basically empty","2","-","-","https://www.amazon.com/gp/customer-reviews/R5BPROGHQ0BLY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 2, 2017","Dan High","-","yes","Pass","Played this game for the first time on New Year's.  Some of the cards are extremely inappropriate, I expected that and generally those are the most humorous. We played with 4 people, there seemed to be a lot of dead time. At several points we decided to ditch an agreed amount of cards for fresh ones because they sucked so bad. Also at several points we decided to scrap the round because none of the cards were funny.  Game should come with some blank cards allowing players to create some of their own. 25$ is highway robbery for this glorified set of cards, and honestly I will probably never play again.","2","-","-","https://www.amazon.com/gp/customer-reviews/R10YXSRJW2T9EE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 27, 2014","Loren J. Erickson","-","yes","Age advisory says 17+ but I'd say 21+ (or older) is more like it. Some of the white cards are REALLY ...","Wish I had looked at this more closely.  Age advisory says 17+ but I'd say 21+ (or older) is more like it.  Some of the white cards are REALLY off-color.  Seems like this deserves a warning label of some kind.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2EDJWMIROJUFP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 21, 2016","Sydney McKim","-","-","Two Stars","Revived my box and it was literally crushed.","2","-","-","https://www.amazon.com/gp/customer-reviews/RONVFP2ICBEUI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 5, 2016","Eddie Stardust","-","yes","Taking no real risks, the game plays itself.","I anticipated irreverence and tastelessness, but I thought the game would allow for much more creativity. Instead, it opens up the opportunity to express dark, but rarely funny responses; hatefully good fun? The problem is that the game doesn't leave any room for a deeper engagement, nor does it allow players to inject their own humor. The mechanism disallows players to be accountable for espousing potentially horrid personal views, as they are prefabricated.By design, 'Cards Against Humanity' can't be funny, anymore so than can any  humor algorithm; it's just  too arbitrary. Playing is like being forced to watch poorly scripted television comedy of the 80's; the game plays itself.It's a dreary spectacle.","2","-","-","https://www.amazon.com/gp/customer-reviews/RQSWMQ6I9E5IO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 22, 2014","Nadine","-","-","Two Stars","Lots of fun","2","-","-","https://www.amazon.com/gp/customer-reviews/R76GBY7NG2OER/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 8, 2015","Chad Columbia","-","-","A lot of doubles in mine","Game is awesome but I'm giving it a 2 until I can get a new one mine had a bunch of doubles","2","-","-","https://www.amazon.com/gp/customer-reviews/R3PGJWVXATS45R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"September 12, 2015","Dave Campbell","-","yes","Needs right mix to make game fun","Concept is good but the game is too subjective.  You need the right mix of people to make the game interesting.  Without the right mix the game does not stand on its' own as entertainment.","2","-","-","https://www.amazon.com/gp/customer-reviews/RM7G26S66T9B2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 23, 2014","rian","-","-","It is a good game but you need certain people to play it ...","It is a good game but you need certain people to play it with. This game is not meant for everyone","2","-","-","https://www.amazon.com/gp/customer-reviews/R1VYQ55VT2L0E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"May 5, 2017","Tabatha","-","yes","Not for educated people .. dumb humor","Eh, I've played this game with 3 sets of people and no one is liking it. It's boring high school humor.","2","-","-","https://www.amazon.com/gp/customer-reviews/RD85CPKCZXQCA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"February 6, 2015","Just2peachy","-","yes","but we're very disappointed and found some of the question/answers","We played with another couple. We were all excited about the reviews, but we're very disappointed and found some of the question/answers stupid","2","-","-","https://www.amazon.com/gp/customer-reviews/R1748AHO055FHL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 23, 2014","Danny","-","yes","Low replay, get's old pretty quickly","Brought this to work, was pretty fun the first time after playing like 15 rounds. Second time we played, it got kinda boring. I dont for see much replayability as the cards come up again and again.If they added more elements to it, it would be better. Other than just choosing answers and ending the actual 'playing' there","2","-","-","https://www.amazon.com/gp/customer-reviews/RLL0QS20Q3CZ7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 18, 2015","Jerrold A. Heller","-","-","Two Stars","Less than stellar.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3ML9WOIJ1QF2T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 1, 2015","Rachael_Inc","-","-","Just okay","Couldn't possibly be fun unless you're all high on mushrooms or cocaine. Even with a fair amount of drinking I found this 'game' to be pretty boring. Nobody else seemed to be having as much fun as other reviews seem to imply. I guess to each his own.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1U55CM6MDALFV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 26, 2016","Amazon Customer","-","yes","Expected better","Not worth the money I spent. Played it once w friends. Once was okay. Wouldn't rush to play it again.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2F4Z5RDVF54NJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 21, 2018","BigPoppaWheelie","-","-","Gets old","Funny game first couple times you play but quickly gets old. There’s a ton of expansions to the game but I haven’t used any. Not for the prude or faint hearted. Most of my friends have all played it and the fun is worn out","2","-","-","https://www.amazon.com/gp/customer-reviews/R29OJV3VNQJ8YO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 8, 2018","QueenB_mrsbarela","-","-","Good","Good","2","-","-","https://www.amazon.com/gp/customer-reviews/RG647GLBULD2R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"July 22, 2016","Ty G","-","yes","Kind of boring after a while.","Thought it would be funner","2","-","-","https://www.amazon.com/gp/customer-reviews/R3HFAZDQ3C75ZC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 19, 2017","Ebony N","-","yes","Not what I expected. Wanted to return it but ...","Not what I expected.  Wanted to return it but didn't want to pay the fee.","2","-","-","https://www.amazon.com/gp/customer-reviews/R14WZ1HF07K432/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 20, 2019","Catherine Goff","-","-","Dirty cards","Great game , many of the cards came dirty , very disappointed","2","https://images-na.ssl-images-amazon.com/images/I/7102+CY-eeL._SY88.jpg","-","https://www.amazon.com/gp/customer-reviews/R388Z5YAXF0GBV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 18, 2019","Amazon Customer","-","-","Cards falling apart","It looked new but the cards were mostly tore up. It was a Christmas present so by the time it got used I was unable to return","2","-","-","https://www.amazon.com/gp/customer-reviews/R3JICSPZ2RWQQC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"February 8, 2017","E.S","-","-","Don't believe the hype!","This game is Just o.k.  Definitely did not live up to all the hype.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1TME4HAQW5870/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"July 6, 2016","M. Siefken","-","-","Fun, but","I don't get what the hype is all about. I didn't giggle as much as I anticipated. Fun, but... Meh.","2","-","-","https://www.amazon.com/gp/customer-reviews/R19G2Z2QCK39KF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"September 17, 2015","amanda","-","-","This set is boring. And some reviews say not authentic","Played many times at bars with friends and remembered the cards being more out there and raunchy. This set is boring. And some reviews say not authentic?","2","-","-","https://www.amazon.com/gp/customer-reviews/RZFI797TX9501/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 2, 2017","Erekle","-","yes","Under average for non Americans/Brits","Nice party game, but card contents are mainly based on American/British Culture and unless you are too familiar with that you spend half the game time on Google. Even after you are confused whether other players (especially Card Czar) gets your point and you miss some opportunities to match cards. Despite there are 250 cards in a deck, after playing 3 or 4 times it becomes boring. Overall 4 stars for Americans/Brits, 2 stars for foreigners.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3IGZ35AHUCSZF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 2, 2017","jack of many trades","-","yes","Could be funnier!","I'm not a prude and really expected this to be hilarious. Some cards were; however the majority, in my opinion, were just plain mean!","2","-","-","https://www.amazon.com/gp/customer-reviews/R1SHQ1453R68E3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 13, 2017","Brandon F.","-","yes","It is a fun game, the first two times that it is ...","It is a fun game, the first two times that it is played.  After that, the shock value wears off and it is repetitive and drab.  Much like a boat, it is better to know someone who owns it, than own it yourself.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1MZ6A2V0YA85B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 3, 2016","Cherish McNamara","-","yes","I really do but it wasn't as much fun as we thought it would be","I get it. I really do but it wasn't as much fun as we thought it would be. We laughed but we've not picked up the game since playing it the first time. Not out favorite.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3PHXZO60NGINN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"February 15, 2019","M. Ogleari","-","-","It's alright, gets super old","This is the kind of game that's cool and interesting the first few times you play it, but gets very dull once you've seen most of the cards. The expansions attempt to keep it new and fresh, but there are so many other party games I recommend over this one. I guess it's fun to play with people who have never played it, so you can see their reactions to the cards. But that's about it.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1EVVB028A2ZBY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"June 28, 2016","M. Athar","-","yes","Two Stars","It relies on shock humor, but gets old after a few hours of playing","2","-","-","https://www.amazon.com/gp/customer-reviews/R3FLL1FJKYFRY2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 31, 2015","D. Perez","-","yes","Fun but WAYYYY overrated","Ok game to play a few times.  Gets old fast though.  Fun but WAYYYY overrated, don't expect too many playthroughs. Impossible to buy used or sell thanks to Amazon policy on this game.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2VTRLV1MPJD6J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 18, 2019","Di","-","-","Too profound.","Though I was aware this game was a bit ‘risky’, I didn’t care for it’s bold profanity. Just too offensive for my taste.","2","-","-","https://www.amazon.com/gp/customer-reviews/R38656MDR3CQIS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 24, 2018","JnKBos","-","-","Not really suitable for everyone.","Game isn’t for me. It is funnyish. But crude and not funny enough to overlook.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1XQZ05E5Y1UR6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 15, 2019","Enaid13","-","-","Disappointed","Everyone was speaking about this game, and I didn't like it. It is just boring, sometime funny, but really you need alcohol to play....","2","-","-","https://www.amazon.com/gp/customer-reviews/R36BURKLU2WU6V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 1, 2015","K2","-","yes","Funny until the cards go really south","Funny until the cards go really south!  I wish I would have researched this a bit more prior to purchasing.","2","-","-","https://www.amazon.com/gp/customer-reviews/R28VHJ90VPPIH0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 22, 2015","Wendy Golik","-","yes","It was good but not nearly as great as the reviews and ...","It was good but not nearly as great as the reviews and all the talk about how fun and funny it was to play!","2","-","-","https://www.amazon.com/gp/customer-reviews/R211AY1I1CK8I7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"September 21, 2016","Amazon Maineiac","-","yes","Not for the faint at heart","If you like drunken party games","2","-","-","https://www.amazon.com/gp/customer-reviews/RL17CD4T5GY5J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 14, 2018","Brithia22","-","yes","It’s funny but some is not","This is a very fun game but there are a few cards that will literally turn your stomach and say “Why?!!” They are that bad. Some things you just don’t joke about or if you do then you’re sick. I’m sorry but I don’t find “dead babies” funny at all. That card will go in the trash. I get that the creator wanted to push the envelope to make this an epic fun game but some things are just not funny and ticked me off.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1OP7FSCRAXZ6Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"July 26, 2015","junni","-","-","Game for terrible people.","After a few months of this game. its just meh...the jokes get old quickly and even with the new packs. i feel this is a good game for new friends, but after a few rounds, thats it.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3LTL1OGY5NOEI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"June 11, 2018","Kevin S.","-","-","Cringy game","I've only used this game twice and most of my friends think it's cringy","2","-","-","https://www.amazon.com/gp/customer-reviews/R27JZV0DS66U0H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 3, 2015","Anna D. Brown","-","yes","Two Stars","Highly inappropriate.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1AC12DE3ZD2NH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 28, 2015","John W. Davenport","-","-","Definitely Not for Children!","Should be X rated.  We had to censor ours before playing a second time.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2AAZPUKCXJ6NH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 26, 2014","Mercedes Harris","-","yes","I do like the game but they send me a box with ...","I do like the game but they send me a box with a bunch of double cards. so I am pretty much playing with half of the box instead of the whole thing. I had to order another box from the company.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2QI5DAPRFAZ81/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"June 28, 2016","Isabelle Forman","-","yes","Anti-Semetic","This card game was really fun until I saw cards that promote anti-semetic jokes. NOT O.K.","2","-","-","https://www.amazon.com/gp/customer-reviews/R151DSAL8RF9RB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 17, 2014","bjsinn","-","yes","I had been telling her how funny and sick the game is","We have owned Cards against Humanity for awhile now and I sent this version to s friend as a hostess gift (old college roommate).  I had been telling her how funny and sick the game is.  Was I surprised when it was so tame.  The cards were funny but nothing like in my version at home.  It was boring because we weren't laughing as hard as usual.  Not sure if people complained so much they PG rated it or what but I was very disappointed.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2H51QBLFD7V0D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
